DATE,AMOUNT,DESCRIPTION,CATEGORY,CATEGORY GROUP,ACCOUNT,TO ACCOUNT,PROJECT,NOTES
"2022-06-28",-7.04,"TESCO STORES 3005 PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-06-28",-122.16,"MOTORTRADE SUPPORT LIMITEPERTH","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-06-27",-19.1,"Scotrail London GBR 85130082175224799990863","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-27",-20,"ATM Withdrawal LINK","Mum Dad","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-06-27",-12.25,"ALL BAR ONE EXCHAN EDINBURGH 1","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-27",-18.3,"ALL BAR ONE EXCHAN EDINBURGH 1","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-27",-17.16,"Uscustoms Esta Appl PMT in","Holidays","Entertainment","489396XXXXXX2001","N/A","N/A","Vegas "
"2022-06-24",-16.8,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-06-24",-17.3,"STAGECOACH SERVICE STOCKPORT","Travel","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-06-24",-54.97,"MAJESTIC WINE PERTH","Gifts to friends & family","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-06-23",-13,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-06-22",-3500,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-06-22",274,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-22",-5.25,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-06-22",3500,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-22",-225,"Transfer to","Savings","Transfers","070436 XXXX9656","Savings ","N/A",""
"2022-06-22",-274,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-21",-247,"Travel Republic Ltd Internet","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegas "
"2022-06-20",-85.06,"W M MORRISON PETRO PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-06-20",-164.84,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-20",3511.98,"LLOYDS BANK PLC 80041136","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-06-20",-0.75,"SPAR STANLEY","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-06-20",-66.75,"THE BELLROCK RESTAURAN ARBROATH DD11","Mum Dad","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-06-20",164.84,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-06-17",-9.98,"PETS AT HOME LTD STOCK HANDFORTH","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-06-16",-22,"Contactless Payment BYRON LOTHIAN ROAD GOOGLE 5580","Eating out","Entertainment","070436 XXXX9656","N/A","N/A",""
"2022-06-16",-1.15,"SELECTA U.K. LIMITED SOUTH RUISLIP","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-16",-1.15,"SELECTA U.K. LIMITED SOUTH RUISLIP","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-15",-7.54,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-06-14",2629.19,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-14",58.98,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-06-14",3478,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-14",3477.64,"HALIFAX SHARE DEAL 01496745","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-06-14",-2629.19,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-14",-3478,"ALISTAIR MACNAIR 300000000953935803","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-06-14",-58.98,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-14",-1000,"Transfer to","Savings","Transfers","070436 XXXX9656","Savings ","N/A","Bonus"
"2022-06-13",-37.47,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-13",-8.49,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",""
"2022-06-13",-5.49,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",""
"2022-06-13",-27,"ZAYNS FASTFOOD PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-13",-18,"B & Q 1361 PERTH","Garden","Household","489396XXXXXX2001","N/A","N/A",""
"2022-06-09",-110,"ALISTAIR MACNAIR 600000000948048776","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-06-09",-554.3,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-09",554.3,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-06-09",110,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-08",-24.92,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",""
"2022-06-08",-5.25,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-06-07",-146.29,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-06-06",43.87,"DIRECT DEBIT RECEIVED, THANK YOU 0512687215000000001024","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-06",-2.95,"ZAYNS FASTFOOD PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-06",-23.85,"Direct debit LV PET 300002 00128223","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-06-06",-12.75,"GOOGLE *YouTubePremium g.co/helppay# GBR 55204722156200869197389","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-06-06",-30,"ZTL*Glasgow Clan OfficialGlasgow","Ice Hockey","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-06",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-06-06",-124.99,"Ebay O London","General merchandise","Shopping","MR ALISTAIR MACNAIR","N/A","N/A","Unit for Garage "
"2022-06-06",-24,"Google London","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-06-06",-43.87,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-06-06",-29.85,"ZAYNS FASTFOOD PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-06-06",-94.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-06-06",-5.05,"SPAR STANLEY","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-06-06",-113.1,"Direct debit V12 RETAIL FINANCE 200816 70025127","Loans","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-06-04",-20,"Payment to LIAM WINCHESTER","Liam","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-06-03",-25,"Standing order MORTGAGE 070094 44444445","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-06-03",-906.33,"To mortgage a/c A MACNAIR 72663742203","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-06-01",-17.27,"LIDL GB PERTH PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-06-01",-7.54,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-06-01",-44.9,"Paypal","Gifts to friends & family","Gifts and giving","070436 XXXX9656","N/A","N/A","Phone cover for Gail"
"2022-06-01",-236,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",""
"2022-06-01",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",""
"2022-05-31",-396.2,"WWW.CLANIHC.COM COLINDALE LND 85383902150000002441718","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-31",-2.5,"WM MORRISONS STORE PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-05-31",-20,"Payment to LIAM WINCHESTER 2022-05-30","Liam","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-05-31",-486.2,"WWW.CLANIHC.COM COLINDALE LND 85383902150000002403940","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-31",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-30",-9.8,"Amazon.co.uk*2G9LV3LC4 AMAZON.CO.UK","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-73.43,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-30",-8.99,"AMZNMktplace amazon.co.uk","Liam","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-49.99,"PlaystationNetwork London","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-16.49,"HPI INSTANT INK UK WWW.HP.COM","Printing","Business","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-24.2,"SUMUP *HAPPY VALLEY TAKEPERTH,","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-22.85,"CHILLI PEPPER (SCOT) LTD PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-6.99,"AMZNMktplace amazon.co.uk","Liam","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-89.47,"W M MORRISON PETRO PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-05-30",-99.99,"MCAFEE *WWW.MCAFEE.COM 0800-028-7581","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-05-27",-65,"LORNADAVIES 01738628440","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-26",110,"ADYEN N.V. 01591924","Entertainment","Entertainment","Mr Alistair MacNair","N/A","N/A",""
"2022-05-25",-5.25,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-05-25",-15,"MARINIS PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-25",-16.8,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-25",-8.99,"AMZNMktplace amazon.co.uk","Liam","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-25",-13,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-05-23",100,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-23",-17,"AMZNMktplace amazon.co.uk","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-23",3500,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-23",-7.19,"MOONPIG LONDON LND 85383902140000003930969","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-23",-59.9,"Joules Limited Market Harbor","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-23",50,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-23",-3500,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-05-23",-8.35,"TESCO STORE 3008 PERTH 3","Liam","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-23",-507.63,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-23",-50,"ALISTAIR MACNAIR 300000000942337875","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-05-23",-22.98,"PETS AT HOME LTD STOCK HANDFORTH","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-23",-100,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-23",-9.21,"B & Q 1361 PERTH","Garden","Household","489396XXXXXX2001","N/A","N/A",""
"2022-05-23",507.63,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-05-20",3511.98,"LLOYDS BANK PLC 80039109","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-05-20",-200,"LOSS MANAGEMENT GROUP LT01323418545","Household insurance","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-05-20",-11.97,"B & Q 1361 PERTH","Garden","Household","489396XXXXXX2001","N/A","N/A",""
"2022-05-19",-11.99,"GOOGLE *YouTubePremium g.co/helppay# GBR 55204722138200259879912","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-19",34.65,"LLOYDS BANKING GRO","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-05-19",-10.98,"SP ME TO YOU CHICHESTER","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-19",-8.99,"AMZNMktplace amazon.co.uk","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-18",-7.54,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-05-18",59,"MARKS&SPENCER PLC PERTH","Mum Dad","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-16",-5.95,"REPORTMYLOSS.COM GLOUCESTER","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-16",-7.95,"EQUIFAX LTD EQUIFAX.CO.UK","Insurance","Household","489396XXXXXX2001","N/A","N/A",""
"2022-05-16",-1,"CHILLI PEPPER (SCOT) LTD PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-13",-54.85,"MARINI'S PERTH","Mum Dad","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-12",-27.18,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-11",-5.25,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-05-11",-88.5,"MARKS&SPENCER PLC INTERNET","Mum Dad","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-11",-59,"MARKS&SPENCER PLC PERTH","Mum Dad","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-05-10",-392.47,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-10",392.47,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-05-09",37.39,"DIRECT DEBIT RECEIVED, THANK YOU 0512687212400000000983","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-09",-37.39,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-09",-165,"DVLA VEHICLE TAX 0300 1234321","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-05-09",-82,"W M MORRISON PETRO PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-05-09",-115.83,"KINGSWAY PLUMBING SUPPLIEMANCHESTER","Home improvement","Household","489396XXXXXX2001","N/A","N/A",""
"2022-05-06",-29.64,"B & Q 1361 PERTH","Garden","Household","489396XXXXXX2001","N/A","N/A",""
"2022-05-05",-12.99,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-05",-113.1,"Direct debit V12 RETAIL FINANCE 200816 70025127","Loans","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-05-05",-155.63,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-04",-15.7,"SCOTCH CORNER NORTH YORKSHI GBR 05272462123910045006503","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-04",-7.14,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-166.24,"DIRECT LINE INS 0345 246 8179","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-05-03",-24.9,"CHILLI PEPPER (SCOT) L PERTH GBR 05272472123910007365839","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-03",-25,"Standing order MORTGAGE 070094 44444445","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-05-03",381.13,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-05-03",-7,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472122401570796378","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-03",-892.15,"To mortgage a/c A MACNAIR 72663742203","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-49,"PREMIER INN 44537250 GLASGOW BRAEH","Ice Hockey","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-05-03",-13.5,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472122401570428543","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-03",-23.85,"Direct debit LV PET 300002 00128223","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-10,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472122401571247827","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-03",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-18,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472122401570423429","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-05-03",-94.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-236,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",""
"2022-05-03",-381.13,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-05-02",-6.6,"PPOINT_*BNG OFF LICENC NOTTINGHAM GBR 85125692121217162234529","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-8,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472121401268674383","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-8,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472121401268675570","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-12,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472121401268674052","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-12,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472121401205954542","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-14,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472121401205766177","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-14,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472120400829499661","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-18.7,"LACE FISH BAR NOTTINGHAM 85481472121401365094899","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-27,"National Merchandise - NOTTINGHAM 85481472121401268285321","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-15,"NOTTINGHAM ARENA-CATER NOTTINGHAM 85481472120400829499406","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-11.95,"SCOTCH CORNER WCP EXTE RICHMOND, N Y 55504432119110118409718","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-46.89,"JURYS INN NOTTINGHAM F NOTTINGHAM GBR 55184222119561209898999","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-16.6,"JURYS INN NOTTINGHAM F NOTTINGHAM GBR 55184222119561209898890","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","POFW"
"2022-05-02",-17.73,"BOOTS 0006 NOTTINGHAM GBR 05272472120910012545162","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-30",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-04-29",-10.6,"Contactless Payment PPOINT_*RENFREW STORE LTD","Eating out","Entertainment","070436 XXXX9656","N/A","N/A",""
"2022-04-29",-19.9,"Contactless Payment PHOENIX GRILL","Eating out","Entertainment","070436 XXXX9656","N/A","N/A",""
"2022-04-28",-16.49,"HPI INSTANT INK UK WWW.HP.COM","Printing","Business","489396XXXXXX2001","N/A","N/A",""
"2022-04-28",-72.64,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-04-27",-124,"RAPID TYRE SERVICES CRIEFF","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-04-27",-4.95,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-04-26",-5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962114343848690003","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-26",-16.8,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-04-26",-5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962114343848697644","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-26",-4,"SQ *CLAN ENTERTAINMENT Glasgow 02708962114343848851951","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-25",-25.4,"Time2Dine Glasgow","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-04-25",-5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962114171977126717","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-25",-8,"SQ *CLAN ENTERTAINMENT Glasgow 02708962114171977051212","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-25",-4.35,"WM MORRISONS STORE GLASGOW 85481472112398616635481","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-23",-110,"Payment to OSC TRAVEL","Ice Hockey","Entertainment","070436 XXXX9656","N/A","N/A",""
"2022-04-23",-13,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-04-22",460,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-22",-21.2,"SUMUP *HAPPY VALLEY TAKEPERTH,","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",""
"2022-04-22",3450,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-04-22",-3450,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-04-22",-68.89,"W M MORRISON PETROL PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",""
"2022-04-22",60,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-04-22",-60,"ALISTAIR MACNAIR 500000000923118727","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-04-22",106.24,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-04-22",-460,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-04-22",-106.24,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-04-20",-13,"The fish and chip comp Perth GBR 72702822109003073265325","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-20",3512.4,"LLOYDS BANK PLC 80040711","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-04-20",-7.14,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-04-19",-7.9,"TESCO STORE 3008 PERTH 3","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-04-19",-2.05,"TESCO STORE 3008 PERTH 3 GBR 05130862109910020852534","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-19",-11.99,"GOOGLE *YouTubePremium g.co/helppay# GBR 55204722108200841939378","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-18",-50.17,"TESCO STORE 3008 PERTH 3 GBR 05130862107910027201596","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-04-18",-5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962106343835154310","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
